iter	Logloss
0	0.6173176154
1	0.5628602953
2	0.5198875663
3	0.4801037486
4	0.4551561448
5	0.4306335147
6	0.409550012
7	0.3897961218
8	0.3760431804
9	0.3642560552
10	0.3544496096
11	0.3435878546
12	0.3338968774
13	0.3244140936
14	0.3183850197
15	0.3109667306
16	0.3044017895
17	0.297936356
18	0.2931013228
19	0.2880668428
20	0.2836822415
21	0.2766296843
22	0.271641952
23	0.2670106222
24	0.2616802755
25	0.2581460342
26	0.254647989
27	0.2516008407
28	0.2481267112
29	0.2444833232
30	0.2414894382
31	0.2385407629
32	0.2365898731
33	0.2325872049
34	0.2304074146
35	0.2289155542
36	0.2259064097
37	0.2225055787
38	0.2193983086
39	0.2162608342
40	0.2132399834
41	0.2108712098
42	0.2085713173
43	0.2060054634
44	0.2037350078
45	0.2015111633
46	0.1996602515
47	0.1973936236
48	0.1953745218
49	0.1937610459
50	0.1910437264
51	0.1885953432
52	0.1875373672
53	0.1862834544
54	0.184204567
55	0.1827158574
56	0.1811323544
57	0.1790953873
58	0.1774427367
59	0.17572588
60	0.1749771692
61	0.1728952498
62	0.1708404762
63	0.1692263363
64	0.1679584953
65	0.1651015256
66	0.1639446511
67	0.1622212408
68	0.1607720013
69	0.1585813251
70	0.1576069839
71	0.1556090104
72	0.1543352225
73	0.153449261
74	0.1519601612
75	0.1511752302
76	0.1494350583
77	0.1488186747
78	0.1483259023
79	0.1476159817
80	0.1462825501
81	0.1452850567
82	0.1438759411
83	0.1426558409
84	0.1422201409
85	0.1410775166
86	0.1398369985
87	0.1388022981
88	0.137853765
89	0.1372429842
90	0.1365733195
91	0.1353675266
92	0.1342335976
93	0.1324321714
94	0.1315158253
95	0.1304466501
96	0.129866922
97	0.1286165118
98	0.1276935875
99	0.1272889653
100	0.126606298
101	0.1258608757
102	0.1242972197
103	0.1233254796
104	0.1220999784
105	0.1212893034
106	0.1200813878
107	0.1194809948
108	0.1188077945
109	0.1183711178
110	0.1175894128
111	0.1174616281
