iter	Passed	Remaining
0	2	261
1	4	256
2	6	253
3	9	246
4	11	244
5	13	239
6	15	234
7	17	222
8	19	224
9	21	221
10	23	217
11	26	217
12	28	214
13	30	210
14	32	208
15	34	205
16	36	202
17	38	200
18	40	198
19	42	194
20	44	192
21	46	189
22	48	187
23	50	185
24	52	183
25	54	180
26	56	177
27	58	175
28	60	172
29	62	170
30	64	168
31	66	165
32	68	162
33	69	160
34	71	158
35	73	155
36	75	152
37	77	151
38	79	148
39	81	146
40	83	144
41	85	141
42	86	139
43	88	136
44	91	135
45	92	133
46	94	131
47	97	129
48	99	127
49	101	125
50	104	124
51	105	122
52	107	119
53	109	117
54	111	115
55	113	113
56	116	111
57	118	110
58	120	107
59	122	105
60	124	104
61	126	101
62	128	99
63	131	98
64	132	96
65	134	93
66	137	92
67	139	90
68	141	88
69	144	86
70	146	84
71	148	82
72	150	80
73	152	78
74	154	76
75	157	74
76	159	72
77	161	70
78	164	68
79	165	66
80	167	64
81	170	62
82	171	60
83	173	57
84	175	55
85	177	53
86	179	51
87	181	49
88	184	47
89	186	45
90	189	43
91	191	41
92	194	39
93	197	37
94	199	35
95	202	33
96	204	31
97	207	29
98	209	27
99	211	25
100	214	23
101	216	21
102	218	19
103	221	17
104	223	14
105	225	12
106	227	10
107	229	8
108	231	6
109	233	4
110	235	2
111	237	0
